,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,condition,grade,yr_built,lat,long
30,580500.0,3,2.5,2320,3980,2.0,3,8,2003,47.5391,-122.07
31,280000.0,2,1.5,1190,1265,3.0,3,7,2005,47.7274,-122.357
32,687500.0,4,1.75,2330,5000,1.5,4,7,1929,47.6823,-122.368
33,535000.0,3,1.0,1090,3000,1.5,4,8,1929,47.6889,-122.375
34,322500.0,4,2.75,2060,6659,1.0,3,7,1981,47.4276,-122.157
36,550000.0,4,1.0,1660,34848,1.0,1,5,1933,47.6621,-122.132
37,640000.0,4,2.0,2360,6000,2.0,4,8,1904,47.6702,-122.362
38,240000.0,4,1.0,1220,8075,1.0,2,7,1969,47.3341,-122.282
39,605000.0,4,2.5,2620,7553,2.0,3,8,1996,47.5301,-122.18
40,625000.0,4,2.5,2570,5520,2.0,3,9,2000,47.6145,-122.027
41,775000.0,4,2.25,4220,24186,1.0,3,8,1984,47.445,-122.347
42,861990.0,5,2.75,3595,5639,2.0,3,9,2014,47.6848,-122.016
43,685000.0,3,1.0,1570,2280,2.0,3,7,1922,47.6413,-122.364
44,309000.0,3,1.0,1280,9656,1.0,4,6,1959,47.4485,-122.175
45,488000.0,3,2.5,3160,13603,2.0,3,8,2003,47.7443,-121.977
46,210490.0,3,1.0,990,8528,1.0,3,6,1966,47.3066,-122.371
47,785000.0,4,2.5,2290,13416,2.0,4,9,1981,47.6194,-122.151
48,450000.0,3,1.75,1250,5963,1.0,4,7,1953,47.6796,-122.301
50,228000.0,3,1.0,1190,9199,1.0,3,7,1955,47.4258,-122.322
51,345000.0,5,2.5,3150,9134,1.0,4,8,1966,47.4934,-122.189
52,600000.0,3,1.75,1410,4080,1.0,4,7,1950,47.6808,-122.384
53,585000.0,2,1.75,1980,8550,1.0,3,7,1981,47.6989,-122.369
54,920000.0,5,2.25,2730,6000,1.5,3,8,1927,47.6571,-122.281
55,885000.0,4,2.5,2830,5000,2.0,3,9,1995,47.6597,-122.29
56,292500.0,4,2.5,2250,4495,2.0,3,7,2008,47.3663,-122.114
57,301000.0,3,2.5,2420,4750,2.0,3,8,2003,47.3663,-122.122
59,430000.0,4,3.0,1850,9976,2.0,3,8,1991,47.5059,-122.149
61,289000.0,3,1.75,1260,8400,1.0,3,7,1954,47.4366,-122.335
62,505000.0,3,1.75,2519,8690,2.0,5,8,1973,47.4428,-122.344
63,549000.0,3,1.75,1540,1044,3.0,3,8,2014,47.6765,-122.32
64,425000.0,3,2.25,1660,6000,1.0,3,7,1979,47.6113,-122.297
65,317625.0,3,2.75,2770,3809,1.5,5,7,1925,47.5747,-122.304
66,975000.0,4,2.5,2720,11049,2.0,3,10,1989,47.5815,-122.192
67,287000.0,4,2.5,2240,4648,2.0,3,7,2005,47.3378,-122.257
68,204000.0,3,1.0,1000,12070,1.0,4,7,1968,47.3621,-122.11
69,1325000.0,5,2.25,3200,20158,1.0,3,8,1965,47.6303,-122.215
70,1040000.0,5,3.25,4770,50094,1.0,4,11,1973,47.6525,-122.16
71,325000.0,3,2.0,1260,5612,1.0,4,7,1972,47.7362,-122.179
72,571000.0,4,2.0,2750,7807,1.5,5,7,1916,47.7168,-122.287
73,360000.0,4,2.5,2380,5000,2.0,3,8,2005,47.3608,-122.036
74,349000.0,3,1.75,1790,50529,1.0,5,7,1965,47.3511,-122.073
75,832500.0,4,4.0,3430,35102,2.0,4,10,1986,47.5822,-121.987
76,380000.0,4,1.75,1760,7300,1.0,3,7,1956,47.6034,-122.125
77,480000.0,3,1.0,1040,5060,1.0,3,7,1941,47.5636,-122.394
78,410000.0,3,1.0,1410,5060,1.0,4,7,1956,47.7073,-122.34
79,720000.0,4,2.5,3450,39683,2.0,3,10,2002,47.342,-122.025
80,390000.0,3,2.5,2350,5100,2.0,3,8,2003,47.3512,-122.008
81,360000.0,4,2.5,1900,5889,2.0,3,7,1992,47.349,-122.031
82,355000.0,2,1.0,2020,6720,1.0,3,7,1948,47.5474,-122.291
83,356000.0,3,1.5,1680,8712,1.0,3,8,1964,47.4811,-122.149
84,315000.0,3,1.0,960,6634,1.0,3,6,1952,47.7264,-122.31
85,940000.0,3,1.5,2140,3600,2.0,3,9,1925,47.6337,-122.365
86,305000.0,5,2.25,2660,8400,1.5,5,7,1961,47.2909,-122.189
87,461000.0,3,3.25,2770,6278,2.0,3,9,2006,47.5228,-122.199
88,215000.0,2,2.25,1610,2040,2.0,4,7,1979,47.518,-122.194
89,335000.0,2,1.75,1030,1066,2.0,3,7,2006,47.5394,-122.387
90,243500.0,4,2.5,1980,7403,2.0,3,7,1988,47.2897,-122.372
91,1099880.0,5,2.75,3520,6353,2.0,4,10,2001,47.6506,-122.391
92,153000.0,3,1.0,1200,10500,1.0,3,7,1962,47.322,-122.351
93,430000.0,3,1.5,1580,5000,1.0,3,8,1939,47.687,-122.386
94,700000.0,3,1.5,1580,5000,1.0,3,8,1939,47.687,-122.386
96,247500.0,3,1.75,1960,15681,1.0,3,7,1967,47.3576,-122.277
97,199000.0,4,1.5,1160,6400,1.0,4,7,1975,47.3036,-122.378
98,314000.0,3,1.75,1810,41800,1.0,5,7,1980,47.4109,-121.958
100,850830.0,3,2.5,2070,13241,1.5,5,9,1910,47.6415,-122.315
101,555000.0,3,2.0,1980,3478,1.5,4,7,1929,47.6775,-122.372
102,699950.0,3,2.25,2190,107593,2.0,4,8,1983,47.7731,-122.08
104,290000.0,3,1.0,1210,33919,1.0,3,7,1954,47.4375,-122.184
105,375000.0,3,2.5,2340,10005,1.0,4,8,1978,47.4431,-122.133
106,460000.0,3,1.0,1670,4005,1.5,4,7,1939,47.6878,-122.38
107,188500.0,2,1.75,1240,2493,1.0,4,8,1985,47.3813,-122.322
108,680000.0,4,2.5,3140,28037,2.0,4,10,1991,47.7304,-122.082
109,470000.0,5,1.75,2030,12342,2.0,4,7,1942,47.6417,-122.109
110,597750.0,4,2.5,2310,9624,2.0,3,8,1984,47.5386,-122.053
111,570000.0,3,1.75,1260,3328,1.0,5,6,1905,47.6823,-122.349
112,272500.0,3,1.75,1540,12600,1.0,4,7,1980,47.3624,-122.031
116,518500.0,3,3.5,1590,1102,3.0,3,8,2010,47.6824,-122.347
117,205425.0,2,1.0,880,6780,1.0,4,6,1945,47.5009,-122.248
118,171800.0,4,2.0,1570,9600,1.0,3,6,1950,47.4965,-122.303
119,535000.0,4,1.0,1610,2982,1.5,4,7,1925,47.587,-122.294
121,391500.0,3,2.0,1450,9132,1.0,3,7,1987,47.7288,-122.226
122,395000.0,2,1.0,770,6000,1.0,3,6,1953,47.6999,-122.364
123,445000.0,4,1.75,2100,4400,1.5,5,7,1924,47.5299,-122.266
124,770000.0,3,2.25,2910,10204,2.0,3,9,1990,47.6897,-122.098
127,260000.0,4,2.25,2160,8811,1.0,3,8,1978,47.3129,-122.39
128,822500.0,5,3.5,2320,4960,2.0,5,7,1926,47.6763,-122.352
129,430000.0,4,2.5,2070,4310,2.0,3,7,2004,47.5319,-121.85
130,212000.0,3,1.75,1060,7875,1.0,4,7,1986,47.2761,-122.152
131,660500.0,4,2.25,2010,9603,1.0,3,8,1986,47.5343,-122.054
132,784000.0,3,3.5,3950,111078,1.5,3,9,1989,47.697,-122.072
133,453246.0,3,2.5,2010,2287,2.0,3,8,2014,47.5517,-121.998
134,675000.0,4,3.5,2140,2278,3.0,3,9,2005,47.6734,-122.38
135,199000.0,3,1.75,1320,17390,1.0,4,7,1956,47.3257,-122.296
136,220000.0,4,1.75,2020,7840,1.0,3,7,1968,47.3309,-122.299
137,452000.0,4,2.25,2590,10002,1.0,4,8,1968,47.7689,-122.266
138,382500.0,2,1.0,1190,4440,1.0,3,6,1981,47.7135,-122.287
139,519950.0,3,2.25,1170,1249,3.0,3,8,2014,47.6722,-122.381
140,665000.0,2,1.0,1110,3200,1.0,3,7,1925,47.6338,-122.358
141,527700.0,5,2.5,2820,9375,1.0,4,8,1968,47.5707,-122.128
142,205000.0,3,1.0,1610,8579,1.0,4,7,1962,47.4563,-122.171
143,420000.0,3,1.0,1060,8097,1.0,4,7,1923,47.7144,-122.351
144,500000.0,4,2.25,2030,8517,1.0,4,8,1961,47.5495,-122.174
145,921500.0,4,2.5,3670,315374,2.0,4,9,1994,47.7421,-122.026
146,890000.0,4,1.0,2550,4000,2.0,3,8,1905,47.6354,-122.353
147,430000.0,2,2.5,2420,60984,2.0,3,7,2007,47.5262,-121.943
148,258000.0,5,2.0,2260,12500,1.0,4,8,1960,47.3887,-122.286
149,511000.0,3,1.0,1430,3455,1.0,3,7,1947,47.6873,-122.336
150,532170.0,3,2.0,1360,3090,2.0,3,8,1990,47.6838,-122.353
151,560000.0,3,1.0,1110,5000,1.5,3,7,1947,47.655,-122.359
152,282950.0,3,1.0,1250,8200,1.0,4,7,1954,47.3255,-122.304
154,350000.0,1,1.0,700,5100,1.0,3,7,1942,47.679,-122.3
155,215000.0,3,1.0,1180,7669,1.0,4,7,1967,47.4479,-122.176
156,650000.0,5,3.5,3960,25245,2.0,3,9,1996,47.525,-122.172
157,320000.0,4,2.75,2640,7500,1.0,3,8,1967,47.3135,-122.369
159,320000.0,4,1.75,1760,11180,1.0,4,8,1968,47.4715,-122.118
160,255000.0,5,2.25,2060,8632,1.0,3,7,1962,47.4877,-122.335
161,438000.0,3,1.75,1780,9660,1.0,3,7,1962,47.7171,-122.193
162,900000.0,3,2.5,3400,16603,2.0,3,10,2000,47.6012,-122.023
163,441000.0,3,2.75,1910,7280,1.0,3,7,1979,47.7319,-122.224
164,420000.0,3,2.0,2020,38332,1.0,4,7,1975,47.4582,-122.023
165,370000.0,3,1.75,1580,7000,1.0,3,7,1976,47.7209,-122.168
166,269950.0,2,1.75,1340,7250,1.0,5,5,1949,47.408,-122.327
167,807100.0,4,2.5,2680,4499,2.0,3,9,1999,47.565,-122.125
168,653000.0,3,2.5,2680,9750,1.0,4,8,1979,47.7028,-122.231
169,371500.0,3,2.0,1370,8336,1.0,5,7,1964,47.7458,-122.331
170,284000.0,3,1.75,1560,21000,1.0,3,7,1954,47.4776,-122.337
171,272000.0,3,1.75,2160,7140,1.0,4,7,1978,47.3026,-122.374
172,313000.0,3,1.5,1340,7912,1.5,3,7,1955,47.7658,-122.339
173,917500.0,4,2.5,3880,35003,2.0,3,10,1984,47.6477,-122.182
174,673000.0,4,2.25,2590,8190,2.0,4,8,1980,47.5619,-122.125
175,425000.0,3,2.5,1120,1100,2.0,3,8,2008,47.6106,-122.31
176,399950.0,5,2.75,1970,5400,1.0,3,7,1986,47.5868,-122.308
177,385000.0,3,1.0,1220,4800,1.0,3,6,1901,47.6101,-122.307
179,330000.0,2,1.0,1350,8220,1.0,3,7,1949,47.7224,-122.358
180,260000.0,3,2.5,1670,5797,2.0,3,7,1988,47.3505,-122.179
181,470000.0,4,3.0,2380,5125,1.5,4,7,1925,47.5384,-122.376
182,589000.0,4,3.0,2440,9600,2.0,5,7,1961,47.7044,-122.2
183,163500.0,2,1.5,1050,3419,2.0,3,7,1996,47.3848,-122.039
184,835000.0,4,2.75,3130,13412,2.0,3,9,1993,47.6993,-122.102
186,269000.0,4,1.75,1490,10000,1.0,4,8,1969,47.3099,-122.379
187,560000.0,3,2.5,1900,8744,2.0,3,8,1987,47.62,-122.043
188,615000.0,4,1.0,1330,2400,1.5,4,6,1901,47.65,-122.34
189,585188.0,3,2.25,2230,10026,1.0,3,8,1975,47.6647,-122.153
190,305000.0,3,1.75,1650,9480,1.0,3,7,1977,47.726,-122.191
191,166950.0,3,1.0,1190,8820,1.0,3,6,1959,47.4616,-122.184
192,799000.0,3,2.5,2140,9897,1.0,4,8,1959,47.5505,-122.219
193,400000.0,3,2.5,2180,7508,1.0,4,7,1962,47.7606,-122.336
194,230000.0,3,1.0,1060,10228,1.0,3,7,1948,47.7481,-122.3
195,256883.0,3,2.5,1690,5025,2.0,3,8,2003,47.2779,-122.347
196,423000.0,4,2.0,1970,6480,1.5,5,7,1920,47.5511,-122.312
197,465000.0,3,2.5,2150,4084,2.0,3,8,2007,47.5488,-122.372
198,440000.0,3,2.5,1910,66211,2.0,3,7,1997,47.5385,-121.911
199,385000.0,3,1.75,1350,155073,1.0,4,7,1969,47.4058,-121.994
200,210000.0,3,1.0,860,11725,1.0,4,6,1943,47.5093,-122.184
201,297000.0,3,2.5,1940,14952,2.0,3,8,1994,47.3777,-122.165
202,470000.0,3,1.0,1010,5000,1.0,3,7,1952,47.675,-122.394
203,226500.0,3,1.5,1300,7370,1.0,4,7,1976,47.3025,-122.37
204,274250.0,3,1.0,910,8450,1.0,4,6,1962,47.4787,-122.158
205,840000.0,4,1.75,2480,11010,1.0,4,9,1966,47.5378,-122.219
206,677900.0,3,2.5,2440,4587,2.0,3,8,2010,47.7073,-122.114
207,425000.0,3,1.0,1010,5864,1.0,3,7,1915,47.5733,-122.381
208,180250.0,2,0.75,900,9600,1.0,3,6,1941,47.4604,-122.339
210,320000.0,4,2.25,1550,7579,2.0,3,8,1993,47.354,-122.047
211,625504.0,3,2.25,1270,1566,2.0,3,8,2014,47.6647,-122.284
212,592500.0,4,2.5,2240,12032,1.0,3,9,1983,47.6143,-122.017
213,465000.0,3,2.5,2714,17936,2.0,3,9,2005,47.3185,-122.275
214,477000.0,4,2.75,1720,6270,2.0,3,8,1978,47.5458,-122.268
215,280000.0,2,1.0,850,16400,1.0,3,6,1923,47.4889,-122.299
217,445838.0,3,2.5,2250,5692,2.0,3,8,2000,47.5133,-122.379
219,467000.0,2,1.5,1320,10800,1.0,4,8,1947,47.7145,-122.367
220,686000.0,4,2.5,2760,6440,2.0,3,10,1999,47.5836,-122.026
221,279950.0,3,2.0,1750,9750,1.0,3,7,1961,47.398,-122.299
222,527000.0,4,2.25,2330,19436,2.0,3,8,1987,47.7663,-122.215
223,325000.0,3,2.25,2220,16020,1.0,4,8,1966,47.3758,-122.217
224,328000.0,3,2.25,2020,8379,2.0,3,7,1994,47.3828,-122.023
225,390000.0,3,2.25,1250,7500,1.0,5,7,1942,47.5123,-122.373
226,479950.0,2,2.0,1510,6516,1.0,3,8,2005,47.7076,-122.013
227,264950.0,4,2.25,1720,9753,1.0,4,7,1978,47.2922,-122.371
228,235000.0,3,1.0,1430,15246,1.0,4,7,1961,47.4075,-122.214
229,516500.0,3,2.5,1480,4729,2.0,3,7,2004,47.6794,-122.034
231,500000.0,4,2.75,2280,15347,1.0,5,7,1960,47.5218,-122.164
232,315000.0,6,2.75,2940,7350,1.0,3,8,1978,47.3103,-122.339
233,213000.0,2,1.0,1000,10200,1.0,3,6,1961,47.5687,-121.899
234,475000.0,3,1.5,2480,5280,1.5,5,7,1947,47.5575,-122.303
235,1025000.0,5,4.0,3760,28040,2.0,3,10,1983,47.6489,-122.183
236,416000.0,3,2.0,2220,94300,1.0,5,7,1976,47.3459,-121.95
238,800000.0,3,3.5,3830,221284,2.0,3,10,1993,47.7641,-122.023
240,225000.0,3,1.75,1430,8505,1.0,4,7,1968,47.3173,-122.319
241,210000.0,2,1.0,830,6000,1.0,3,6,1940,47.5308,-122.376
242,455000.0,2,1.0,1430,5000,1.5,2,7,1925,47.6727,-122.299
243,225000.0,3,1.0,1300,8316,1.0,4,6,1954,47.3221,-122.216
245,363000.0,3,2.5,2740,11872,2.0,3,9,1990,47.3076,-122.395
247,181000.0,2,1.5,720,5120,1.0,3,6,1954,47.5218,-122.357
248,250000.0,4,2.0,2010,7312,1.0,4,7,1976,47.2785,-122.213
249,481000.0,3,1.75,1560,3000,1.0,4,6,1918,47.6846,-122.345
250,260000.0,3,2.0,1810,7209,1.0,4,7,1978,47.3656,-122.278
251,455000.0,4,2.5,3360,7685,2.0,3,9,2001,47.4369,-122.111
252,415000.0,3,2.25,1510,36224,2.0,3,8,1991,47.4616,-121.711
253,349500.0,3,1.0,1400,3538,1.0,3,7,1953,47.5405,-122.27
254,245000.0,3,2.5,1730,7442,2.0,3,7,1987,47.3507,-122.178
256,385000.0,4,1.75,2360,7620,1.0,4,7,1955,47.5278,-122.345
257,315000.0,3,1.75,1580,11455,1.0,4,7,1974,47.4756,-122.147
258,255000.0,3,1.0,1230,10170,1.0,3,7,1979,47.4437,-121.772
259,693000.0,4,2.5,2460,4425,2.0,3,8,2006,47.7048,-122.109
260,780000.0,3,1.0,1660,4400,1.5,3,8,1911,47.6362,-122.302
261,237000.0,3,1.75,1270,8470,1.0,4,7,1960,47.4207,-122.29
262,525000.0,3,2.25,2100,40510,2.0,3,10,1979,47.6154,-122.047
263,425000.0,2,1.0,770,5040,1.0,3,5,1930,47.5964,-122.299
265,290000.0,4,2.5,1700,7280,2.0,4,7,1988,47.4045,-122.171
266,285000.0,3,1.0,1120,10701,1.0,3,7,1954,47.5544,-122.358
267,415000.0,2,1.0,1070,4500,1.0,3,7,1937,47.6802,-122.29
268,272500.0,3,2.5,2070,9900,1.0,3,8,1979,47.2988,-122.371
270,1365000.0,4,4.75,5310,57346,2.0,4,11,1989,47.7285,-122.042
271,436000.0,2,1.0,1040,7538,1.0,4,7,1939,47.7107,-122.352
272,210000.0,3,1.0,1700,11390,1.0,4,7,1967,47.3271,-122.323
273,236000.0,3,1.0,1300,5898,1.0,3,7,1961,47.5053,-122.255
275,365000.0,3,2.5,2653,4510,2.0,3,8,2006,47.4145,-122.166
276,450000.0,3,2.0,2290,16258,1.0,5,8,1960,47.4672,-122.165
277,770000.0,4,2.75,3820,26300,2.0,3,9,2014,47.7618,-122.261
278,455000.0,4,2.5,2210,49375,1.0,3,8,1997,47.3828,-122.071
279,405000.0,3,1.75,2390,6000,1.0,3,6,1908,47.5362,-122.268
280,304900.0,4,1.75,2600,11325,1.0,4,7,1969,47.3954,-122.206
281,170000.0,2,1.0,860,5265,1.0,3,6,1931,47.5048,-122.272
283,780000.0,4,2.5,3500,7048,2.0,3,9,2005,47.6811,-122.025
284,330000.0,3,3.0,2420,13959,1.0,4,8,1988,47.7486,-122.23
285,370000.0,4,2.5,2720,8666,2.0,3,9,1992,47.3846,-122.169
286,467000.0,5,2.25,2500,13500,1.0,3,7,1979,47.7564,-122.144
287,405000.0,3,1.75,1670,6720,1.0,3,7,1980,47.7198,-122.193
288,675000.0,5,2.25,2900,10300,1.0,3,8,1985,47.5461,-122.151
289,500000.0,2,1.0,1640,14100,1.0,4,7,1954,47.5712,-122.143
290,389999.0,4,2.5,1890,15770,2.0,4,7,1968,47.4281,-122.343
292,360000.0,4,2.5,2160,9528,2.0,3,9,1992,47.3341,-122.255
293,580000.0,4,3.0,3280,11060,2.0,3,8,1986,47.5399,-122.181
295,879000.0,4,2.5,3360,22111,2.0,3,10,1994,47.5951,-122.017
296,265000.0,3,2.0,1320,8959,1.0,3,7,1993,47.3536,-122.144
297,446500.0,3,2.5,2650,7286,2.0,3,8,1990,47.5084,-122.154
298,404000.0,3,1.5,2030,8880,1.0,3,7,1963,47.5586,-122.311
301,335000.0,3,2.5,2440,7632,2.0,3,8,1998,47.3494,-122.301
302,576000.0,3,2.5,1940,9000,1.0,4,7,1948,47.6933,-122.393
303,208633.0,3,2.5,2040,3810,2.0,3,8,2006,47.3537,-122.0
304,315000.0,3,2.25,2200,8750,1.0,4,7,1964,47.476,-122.337
305,725000.0,3,1.75,1920,3300,1.0,4,8,1913,47.6239,-122.298
306,550000.0,4,2.75,1800,7750,1.0,4,8,1965,47.7776,-122.384
307,610750.0,4,2.25,2180,7297,2.0,3,8,1984,47.6459,-122.058
308,550700.0,2,1.0,1010,5000,1.5,4,6,1908,47.6692,-122.297
309,665000.0,4,2.75,3320,10574,2.0,5,8,1960,47.5376,-122.18
311,201000.0,5,1.75,1660,78408,1.5,3,6,1915,47.529,-121.837
315,305000.0,4,2.25,1950,7700,1.0,3,8,1979,47.4441,-122.125
316,487000.0,3,2.0,2590,14052,1.0,5,8,1948,47.7357,-122.333
317,390000.0,3,2.5,1930,64904,1.0,4,8,1988,47.346,-122.157
318,548000.0,2,1.0,1470,3864,1.0,4,7,1916,47.6638,-122.345
319,268750.0,4,1.0,800,8775,1.0,3,6,1943,47.48,-122.336
320,819900.0,5,2.75,3150,7119,2.0,3,9,2013,47.6759,-122.151
321,520000.0,3,2.25,2030,16200,2.0,3,8,1984,47.5162,-122.057
322,230000.0,3,2.0,1450,11204,1.0,3,7,2003,47.2639,-122.252
323,240000.0,3,1.75,1510,10248,1.0,3,7,1969,47.2929,-122.371
326,274975.0,3,2.5,3030,45004,2.0,3,9,1987,47.7721,-122.093
327,740000.0,4,2.0,2050,4400,1.5,4,9,1922,47.644,-122.319
328,186375.0,3,1.0,1000,7636,1.0,2,7,1952,47.472,-122.344
329,790000.0,3,2.25,2370,10289,1.0,4,9,1977,47.592,-122.166
331,279000.0,6,1.75,2240,11180,2.0,4,7,1955,47.42,-122.323
333,640000.0,2,1.0,1070,5000,1.0,3,7,1924,47.6666,-122.331
334,940000.0,4,2.0,2490,9525,2.0,5,9,1968,47.5639,-122.217
335,260000.0,4,2.5,1960,5238,2.0,3,7,2003,47.3483,-122.052
336,559900.0,3,2.75,2930,5569,1.0,3,9,2004,47.7648,-122.164
337,791500.0,4,2.0,1510,3500,1.5,5,7,1911,47.6794,-122.357
338,265000.0,3,1.75,1420,8250,1.0,3,7,1954,47.7535,-122.354
339,245000.0,3,1.75,1740,11547,1.0,3,7,1954,47.4945,-122.22
340,485000.0,4,1.75,2560,43995,2.0,4,7,1962,47.6945,-122.093
341,684000.0,4,3.5,3040,8414,2.0,3,9,2010,47.5222,-122.157
342,425000.0,3,1.75,2500,6840,1.0,3,8,1957,47.7222,-122.32
343,309600.0,4,1.75,1275,20000,1.0,4,6,1991,47.3796,-122.49
344,552250.0,4,2.5,2580,5823,2.0,3,8,2002,47.5374,-121.875
345,165000.0,4,1.0,1000,7134,1.0,3,6,1943,47.4897,-122.24
346,239900.0,4,1.0,1000,7134,1.0,3,6,1943,47.4897,-122.24
347,320000.0,2,1.0,1070,32633,1.0,4,6,1930,47.4716,-122.078
348,206600.0,3,2.0,1390,13464,1.0,4,7,1987,47.3581,-122.173
349,387000.0,4,1.75,2500,7690,1.0,3,7,1973,47.7713,-122.307
350,299000.0,1,0.75,560,12120,1.0,3,4,1967,47.675,-121.854
351,855000.0,4,2.75,2270,10460,2.0,3,9,1965,47.5603,-122.222
352,315000.0,3,1.0,1900,14400,1.0,4,7,1954,47.4147,-122.337
354,252000.0,4,1.5,1550,19800,1.0,4,7,1969,47.3117,-122.27
355,375000.0,4,1.75,2200,7475,1.0,5,7,1955,47.543,-122.28
356,300000.0,4,2.5,1910,4862,2.0,3,7,2005,47.3607,-122.034
357,420000.0,4,1.0,1750,9600,1.5,4,7,1954,47.5759,-122.137
360,463000.0,3,2.5,1640,29970,2.0,3,7,1992,47.6359,-121.974
361,380000.0,5,2.5,2760,11340,2.0,4,9,1978,47.4769,-122.141
362,329500.0,4,2.5,1820,7912,2.0,3,7,1994,47.3845,-122.029
363,604950.0,3,2.5,2110,5608,1.0,3,8,2013,47.6743,-122.184
365,465000.0,3,2.0,1840,40438,2.0,3,7,1994,47.4853,-121.709
366,673000.0,4,2.5,2990,10400,2.0,3,9,2002,47.4508,-122.359
367,810000.0,4,2.5,3520,15420,2.0,3,10,1991,47.6375,-122.016
368,785000.0,4,2.75,2440,69415,1.0,4,8,1989,47.5944,-122.042
369,338000.0,4,3.0,2090,7500,1.0,3,7,1986,47.4888,-122.182
370,280000.0,3,2.25,1430,7222,2.0,3,7,1993,47.5112,-122.19
371,315000.0,4,2.25,2180,10754,1.0,5,7,1954,47.7711,-122.341
372,530000.0,4,2.25,2180,10754,1.0,5,7,1954,47.7711,-122.341
373,380000.0,5,3.0,3450,9914,2.0,3,9,2004,47.2813,-122.345
374,297000.0,3,2.25,1450,7562,2.0,3,7,1994,47.5038,-122.189
375,730000.0,4,2.5,3230,7331,2.0,3,10,2004,47.5823,-121.97
376,450000.0,3,1.75,1640,13500,1.0,3,7,1940,47.7164,-122.304
377,275000.0,3,3.0,1590,7750,1.0,3,7,1997,47.3624,-122.045
378,595000.0,4,2.0,2020,2849,2.0,3,7,1960,47.6831,-122.329
380,270000.0,2,1.5,1380,209959,1.0,1,6,1954,47.7461,-122.195
381,950000.0,3,3.0,4040,14338,2.0,3,10,1986,47.7268,-122.06
382,389000.0,4,2.25,2130,5337,2.0,3,7,2001,47.7237,-121.959
383,560000.0,4,2.25,2550,7800,1.0,3,8,1968,47.6283,-122.095
385,799000.0,4,2.25,2510,11585,2.0,4,8,1969,47.5483,-122.226
386,365500.0,3,2.0,1410,9600,1.0,4,7,1983,47.7591,-122.146
387,252350.0,3,2.0,1650,7352,1.0,3,7,1979,47.4612,-122.169
388,403950.0,4,2.5,2120,13780,2.0,3,8,1993,47.4987,-122.365
389,385000.0,4,1.5,2040,10726,1.0,3,7,1954,47.772,-122.358
390,345000.0,4,1.0,1550,7620,1.5,3,7,1957,47.5287,-122.35
391,490000.0,3,2.75,1980,3128,2.0,4,9,1979,47.6109,-122.114
392,330000.0,3,2.5,1600,26977,2.0,3,8,2005,47.7736,-121.901
393,927000.0,4,2.75,3300,12090,2.0,3,8,1953,47.6294,-122.218
395,330000.0,2,1.0,1220,10000,1.0,5,7,1950,47.7405,-122.241
396,530000.0,5,2.25,2720,8800,1.0,4,7,1958,47.5976,-122.118
397,365000.0,4,2.0,1940,25600,1.0,1,8,1962,47.5722,-122.129
399,269900.0,4,1.75,1530,8750,1.5,4,7,1968,47.4556,-122.157
400,557000.0,3,3.5,1710,2096,2.0,3,8,2008,47.6055,-122.305
