,latitude,longitude,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365,_Entire home/apt,_Private room,_Shared room
133,40.713409999999996,-73.98855999999999,4.663439094112067,3,32,0.29,1,16,1,0,0
134,40.767540000000004,-73.98399,4.875197323201151,2,50,0.45,3,234,0,1,0
135,40.73442,-74.00303000000001,4.7535901911063645,29,26,0.25,1,12,1,0,0
136,40.631879999999995,-73.93248,4.356708826689592,2,2,0.02,1,178,0,1,0
137,40.6873,-73.9634,4.343805421853684,2,426,3.89,3,275,0,1,0
138,40.682959999999994,-73.93661999999999,4.836281906951478,3,227,2.09,2,163,1,0,0
139,40.6863,-73.96765,4.912654885736052,4,84,0.77,3,365,0,1,0
140,40.73409,-73.95348,5.5254529391317835,29,3,0.03,1,34,1,0,0
141,40.71561,-73.94835,5.298317366548036,3,10,0.1,1,280,1,0,0
142,40.6857,-73.99183000000001,4.948759890378168,2,4,0.04,1,0,1,0,0
143,40.74028,-73.83168,4.948759890378168,2,1,0.01,1,1,0,1,0
144,40.682809999999996,-73.93524000000001,4.7535901911063645,3,124,1.72,2,170,1,0,0
145,40.715959999999995,-73.93938,5.081404364984463,3,11,0.11,1,188,1,0,0
146,40.71492,-73.95935,5.278114659230517,4,240,2.19,1,214,1,0,0
147,40.72354,-73.98295,5.278114659230517,3,30,0.28,1,248,1,0,0
148,40.71165,-73.96087,4.394449154672439,3,200,1.86,4,262,0,1,0
149,40.69101,-73.97312,3.8066624897703196,8,27,1.05,5,280,0,1,0
150,40.73474,-74.00101,5.056245805348308,4,79,0.74,1,307,0,1,0
151,40.67386,-73.96641,4.454347296253507,15,9,0.09,1,339,0,1,0
152,40.71536,-73.96056999999999,4.836281906951478,3,155,1.61,1,1,0,1,0
153,40.6741,-73.96595,4.7535901911063645,15,4,0.05,1,269,1,0,0
154,40.79295,-73.93997,4.248495242049359,2,34,0.32,1,10,0,1,0
155,40.73226,-74.00401,5.420534999272286,45,134,1.24,1,312,1,0,0
156,40.71363,-73.96398,4.836281906951478,6,27,0.25,1,189,1,0,0
157,40.77711,-73.9527,5.393627546352362,4,126,1.16,2,290,1,0,0
158,40.685590000000005,-73.98094,6.16541785423142,3,23,0.27,1,230,1,0,0
159,40.77456,-73.95323,4.605170185988092,1,234,2.6,2,164,1,0,0
160,40.710879999999996,-73.95055,4.248495242049359,4,202,1.86,2,53,0,1,0
161,40.74559,-73.92313,4.382026634673881,30,28,0.26,1,126,0,1,0
162,40.68306,-73.94659,4.912654885736052,2,309,2.86,2,3,1,0,0
163,40.70207,-73.98571,5.5254529391317835,3,14,0.13,1,189,0,1,0
164,40.76123,-73.9642,5.5254529391317835,3,4,0.08,1,365,1,0,0
165,40.66858,-73.99083,5.5254529391317835,2,80,2.17,1,0,1,0,0
166,40.827040000000004,-73.94906999999999,4.394449154672439,3,2,0.04,1,0,1,0,0
167,40.68843,-73.96408000000001,4.2626798770413155,2,294,3.47,3,336,0,1,0
168,40.6783,-74.00135,5.111987788356544,2,150,1.4,3,342,1,0,0
169,40.64524,-74.08088000000001,4.2626798770413155,2,166,1.66,1,312,0,1,0
170,40.70641,-73.91765,3.9318256327243257,2,47,0.94,1,37,0,1,0
171,40.83232,-73.93184000000001,3.713572066704308,1,219,2.04,3,353,0,1,0
172,40.71045,-73.9677,5.017279836814924,2,193,1.78,1,177,1,0,0
173,40.72518,-73.98034,4.836281906951478,1,84,0.78,4,310,0,1,0
174,40.70666,-74.01374,5.2832037287379885,3,114,1.06,1,0,1,0,0
175,40.690979999999996,-73.97113,4.709530201312334,2,213,2.0,2,321,0,1,0
176,40.737559999999995,-74.00405,5.14166355650266,3,86,0.8,1,246,1,0,0
177,40.815259999999995,-73.94791,5.111987788356544,3,80,0.75,3,231,1,0,0
178,40.73423,-74.0046,5.017279836814924,26,38,0.36,1,225,1,0,0
179,40.82374,-73.9373,4.61512051684126,2,18,1.79,1,0,1,0,0
180,40.688629999999996,-73.97691,4.189654742026425,2,206,1.92,2,0,0,1,0
181,40.70382,-73.89797,5.860786223465865,8,10,0.11,5,365,1,0,0
182,40.80549,-73.95924000000001,4.605170185988092,4,122,1.18,2,233,0,1,0
183,40.71627,-73.9587,5.303304908059076,4,33,0.58,1,1,1,0,0
184,40.67994,-73.97863000000001,5.017279836814924,5,52,0.5,1,18,1,0,0
185,40.67992,-73.9475,4.51085950651685,3,126,1.17,4,343,0,1,0
186,40.67868,-73.97306999999999,4.795790545596741,3,51,0.48,3,250,0,1,0
187,40.76834,-73.95334,4.330733340286331,3,199,1.85,1,326,0,1,0
188,40.68237,-73.9415,5.170483995038151,26,30,0.29,1,364,1,0,0
189,40.74031,-73.99999,4.836281906951478,3,3,0.03,1,0,1,0,0
190,40.76307,-73.99665,5.62040086571715,1,41,0.38,1,299,1,0,0
191,40.71882,-73.98852,5.703782474656201,2,109,1.04,1,207,1,0,0
192,40.6693,-73.98804,4.912654885736052,5,151,1.43,3,162,1,0,0
194,40.72319,-73.99201,4.430816798843313,1,285,2.69,1,7,0,1,0
195,40.74859,-73.99671,4.820281565605037,1,375,3.52,1,328,0,1,0
196,40.67252,-73.76597,4.02535169073515,2,52,0.49,2,365,0,1,0
197,40.762440000000005,-73.99271,5.278114659230517,5,10,1.01,1,0,1,0,0
198,40.69546,-73.93503,4.394449154672439,2,11,0.48,1,0,0,1,0
199,40.717220000000005,-73.87856,4.59511985013459,30,33,0.31,5,240,1,0,0
200,40.70234,-73.89816,4.948759890378168,7,6,0.06,5,365,0,1,0
201,40.71546,-73.87854,5.583496308781699,7,38,0.38,5,365,1,0,0
202,40.7195,-73.95976,5.521460917862246,2,358,3.44,2,164,1,0,0
203,40.76548,-73.98474,4.663439094112067,6,10,0.09,1,363,0,0,1
205,40.6787,-73.97261999999999,4.61512051684126,2,226,2.12,3,250,0,1,0
206,40.81035,-73.94598,4.804021044733257,1,104,1.0,5,247,1,0,0
207,40.83075,-73.93058,3.828641396489095,1,138,1.45,3,323,0,1,0
208,40.79958,-73.94275,4.61512051684126,5,204,1.92,1,192,0,1,0
209,40.71625,-73.93845,4.948759890378168,2,253,3.04,1,125,1,0,0
210,40.6829,-73.93549,4.276666119016055,2,23,0.22,1,91,0,1,0
211,40.72773,-73.99134000000001,4.875197323201151,2,115,1.17,1,75,0,1,0
212,40.728609999999996,-74.0049,5.298317366548036,5,129,1.22,1,286,1,0,0
213,40.709790000000005,-73.95161999999999,4.248495242049359,4,82,1.13,2,60,0,1,0
214,40.68656,-73.97525,4.23410650459726,3,37,0.35,1,0,0,1,0
215,40.72752,-73.98432,4.875197323201151,1,204,2.04,1,192,1,0,0
216,40.729,-73.95829,5.278114659230517,2,69,0.65,1,58,1,0,0
217,40.81219,-73.94499,4.174387269895637,1,192,1.84,5,245,0,1,0
218,40.77185,-73.90502,4.948759890378168,2,17,0.16,1,292,1,0,0
219,40.68926,-73.99386,5.075173815233827,2,222,2.12,1,279,1,0,0
220,40.72821,-73.98701,5.247024072160486,3,205,1.96,1,0,1,0,0
221,40.7672,-73.98508000000001,5.5254529391317835,3,94,0.96,1,3,1,0,0
222,40.73012,-73.99053,5.480638923341991,3,7,0.07,1,351,1,0,0
223,40.7403,-73.98498000000001,5.723585101952381,2,108,1.09,1,201,1,0,0
224,40.809309999999996,-73.94343,5.049856007249537,3,222,2.1,2,232,1,0,0
225,40.8251,-73.94287,4.110873864173311,1,458,4.58,2,258,0,1,0
226,40.6585,-73.98397,4.912654885736052,2,21,0.26,1,272,0,1,0
227,40.76193,-73.9501,4.795790545596741,7,17,0.3,1,341,0,1,0
228,40.72052,-73.98589,5.017279836814924,3,41,0.39,1,244,1,0,0
229,40.70411,-73.89934000000001,4.948759890378168,14,1,0.01,5,365,1,0,0
230,40.73401,-73.95966999999999,4.912654885736052,2,69,0.67,1,12,1,0,0
231,40.71756,-73.99503,5.5254529391317835,4,18,0.18,2,265,1,0,0
232,40.7589,-73.96991,5.5254529391317835,30,82,0.78,1,0,1,0,0
233,40.72003,-74.00262,6.2166061010848646,4,94,0.99,1,329,1,0,0
234,40.73194,-73.99474000000001,5.420534999272286,5,10,0.1,1,91,1,0,0
235,40.79163,-73.94573000000001,4.836281906951478,28,183,1.83,2,365,1,0,0
236,40.8118,-73.94434,4.532599493153256,1,189,1.82,5,253,0,1,0
237,40.81583,-73.94707,5.170483995038151,2,1,0.11,1,365,0,1,0
238,40.72654,-73.98049,4.605170185988092,2,127,1.22,1,320,1,0,0
239,40.80021,-73.96070999999999,5.278114659230517,4,4,0.04,1,0,1,0,0
240,40.80942,-73.93936,4.948759890378168,3,135,1.3,3,192,1,0,0
241,40.719609999999996,-73.9954,4.912654885736052,2,21,0.2,1,0,1,0,0
242,40.74358,-74.00027,6.2166061010848646,2,35,0.34,1,348,1,0,0
243,40.80335,-73.9575,4.394449154672439,14,10,2.21,2,0,0,1,0
244,40.71445,-73.9908,4.795790545596741,4,171,1.8,2,353,0,1,0
245,40.757490000000004,-73.96897,4.709530201312334,200,92,0.9,1,140,1,0,0
246,40.644459999999995,-73.9503,4.189654742026425,3,238,2.3,1,2,1,0,0
247,40.7268,-73.99079,4.875197323201151,50,56,0.58,1,56,1,0,0
248,40.688,-73.9171,4.605170185988092,3,111,2.13,1,68,1,0,0
249,40.63536,-74.08537,3.6109179126442243,2,193,1.85,6,360,0,1,0
250,40.63627,-74.08543,3.6375861597263857,2,147,1.44,6,0,0,1,0
251,40.63518,-74.08546,3.6375861597263857,2,177,1.71,6,320,0,1,0
252,40.72477,-73.98161,5.170483995038151,3,185,1.78,2,326,1,0,0
253,40.74238,-73.99566999999999,5.327876168789581,9,62,0.7,2,76,1,0,0
254,40.72945,-73.95510999999999,5.655991810819852,3,124,1.22,3,279,1,0,0
255,40.70763,-73.95177,4.0943445622221,2,181,1.77,2,15,0,1,0
256,40.634809999999995,-74.08519,3.6109179126442243,2,333,3.19,6,340,0,1,0
257,40.753840000000004,-73.91433,4.605170185988092,5,441,4.5,1,226,1,0,0
258,40.641059999999996,-73.97426,3.6888794541139363,1,45,0.46,2,365,0,1,0
259,40.66793,-73.98326999999999,4.110873864173311,14,9,0.09,2,0,0,1,0
261,40.88057,-73.83572,4.663439094112067,2,38,0.5,13,365,1,0,0
262,40.682359999999996,-73.94314,4.912654885736052,2,248,2.39,2,11,1,0,0
263,40.72185,-73.98246,5.968707559985366,5,143,1.38,2,316,1,0,0
264,40.68503,-73.95385,4.2626798770413155,3,36,0.41,4,281,0,1,0
266,40.7069,-73.95467,4.110873864173311,17,14,0.14,4,362,0,1,0
268,40.6778,-73.94339000000001,4.61512051684126,3,279,2.69,1,301,0,1,0
269,40.683170000000004,-73.94700999999999,4.2626798770413155,4,18,0.22,4,189,0,1,0
270,40.6761,-73.9529,4.709530201312334,6,50,3.55,1,0,0,1,0
271,40.67586,-73.95155,4.110873864173311,2,227,2.27,2,287,0,1,0
272,40.71702,-73.99811,4.51085950651685,14,1,0.16,1,14,1,0,0
273,40.723209999999995,-73.98156999999999,4.23410650459726,2,203,1.96,2,86,0,1,0
274,40.77956,-73.98098,4.7535901911063645,2,210,2.1,1,261,1,0,0
275,40.682759999999995,-73.95264,4.330733340286331,5,64,0.67,1,68,0,1,0
277,40.72956,-73.98158000000001,4.867534450455582,7,5,0.15,1,231,1,0,0
278,40.71069,-73.95175,4.875197323201151,10,49,0.48,1,152,1,0,0
279,40.70863,-73.94641,4.564348191467836,4,132,1.27,1,46,1,0,0
280,40.82888,-73.94306999999999,4.330733340286331,3,20,0.26,1,364,0,1,0
281,40.673190000000005,-73.97323,5.170483995038151,2,11,0.11,1,246,1,0,0
282,40.67846,-73.99443000000001,5.25227342804663,3,51,0.57,1,288,1,0,0
283,40.6715,-73.94808,3.912023005428146,21,15,0.15,5,331,0,1,0
284,40.72681,-73.98534000000001,5.3612921657094255,3,67,1.31,1,51,1,0,0
285,40.71904,-73.99391999999999,4.564348191467836,1,109,1.11,3,364,0,1,0
286,40.71031,-73.9583,4.948759890378168,2,9,0.11,1,254,1,0,0
287,40.81322,-73.95306,4.912654885736052,6,187,1.87,1,189,1,0,0
288,40.67732,-73.98225,5.017279836814924,2,214,2.08,2,263,1,0,0
289,40.68076,-73.9896,5.25227342804663,3,69,0.79,2,258,1,0,0
290,40.79603,-73.94903000000001,4.8283137373023015,28,22,0.26,1,103,1,0,0
291,40.71492,-73.96282,4.912654885736052,30,56,0.56,1,42,1,0,0
292,40.80393,-73.95838,4.812184355372417,3,93,0.93,1,246,0,1,0
293,40.80082,-73.9652,4.700480365792417,1,104,1.05,2,364,0,1,0
294,40.82976,-73.94866999999999,4.454347296253507,30,64,0.68,1,318,0,1,0
295,40.683,-73.91981,4.983606621708336,3,127,1.25,2,72,1,0,0
296,40.78971,-73.9729,5.278114659230517,11,30,0.32,1,249,1,0,0
297,40.67817,-73.99495,5.5254529391317835,2,106,1.34,3,272,1,0,0
298,40.731190000000005,-73.95578,4.836281906951478,3,6,0.1,1,325,0,1,0
299,40.719429999999996,-73.99627,6.3561076606958915,2,191,1.88,1,298,1,0,0
300,40.78,-73.98249,5.017279836814924,30,48,0.55,1,35,1,0,0
301,40.70514,-73.91922,4.2626798770413155,5,47,0.49,1,203,0,1,0
302,40.867129999999996,-73.92811,4.51085950651685,2,120,1.27,1,132,0,1,0
303,40.73198,-73.98881,4.189654742026425,3,52,0.63,1,5,0,1,0
304,40.72542,-73.97986,6.2166061010848646,2,48,0.48,4,297,1,0,0
305,40.83494,-73.93869000000001,5.5254529391317835,3,32,0.43,2,276,1,0,0
306,40.716590000000004,-73.98945,4.836281906951478,25,43,0.42,1,102,1,0,0
307,40.729659999999996,-74.00243,5.303304908059076,30,39,0.44,1,251,1,0,0
308,40.72898,-73.95551999999999,5.438079308923196,1,50,0.5,1,188,1,0,0
309,40.87207,-73.90193000000001,4.51085950651685,30,4,0.35,2,346,1,0,0
310,40.77728,-73.97818000000001,4.709530201312334,13,38,0.39,1,0,1,0,0
311,40.726459999999996,-73.95340999999999,4.0943445622221,3,29,0.36,1,15,0,1,0
312,40.71015,-73.96101,5.278114659230517,4,59,0.6,1,71,1,0,0
313,40.71903,-73.9597,5.135798437050262,1,68,0.67,2,215,1,0,0
314,40.80892,-73.93985,4.736198448394496,14,26,0.27,3,253,1,0,0
315,40.80276,-73.9567,5.5254529391317835,14,31,0.31,1,78,1,0,0
316,40.77635,-73.93426,4.7535901911063645,2,198,2.01,1,257,1,0,0
317,40.72488,-73.95018,4.02535169073515,2,1,0.01,1,0,0,1,0
318,40.71398,-73.95763000000001,4.248495242049359,2,220,2.17,2,8,0,1,0
319,40.718759999999996,-73.98394,5.017279836814924,3,286,2.81,1,191,1,0,0
320,40.66552,-73.99019,5.135798437050262,2,398,3.97,3,182,1,0,0
321,40.73749,-73.95291999999999,5.19295685089021,3,36,0.36,28,79,0,1,0
322,40.76248,-73.9913,5.017279836814924,3,36,0.36,1,49,0,1,0
323,40.68674,-73.98876,4.912654885736052,4,6,0.1,1,0,1,0,0
324,40.6848,-73.96219,5.860786223465865,6,14,0.3,1,156,1,0,0
325,40.70516,-73.95455,4.795790545596741,14,76,0.76,6,343,0,1,0
326,40.723290000000006,-73.98486,4.276666119016055,2,182,1.81,1,200,0,1,0
327,40.737759999999994,-73.95326999999999,5.857933154483459,3,8,0.09,28,60,0,1,0
328,40.73738,-73.95482,5.857933154483459,3,7,0.07,28,60,0,1,0
329,40.67542,-73.98142,5.111987788356544,30,34,0.51,2,189,1,0,0
330,40.73842,-73.95312,5.521460917862246,3,2,0.02,28,60,0,1,0
331,40.6926,-73.99831999999999,4.61512051684126,3,66,0.68,2,0,0,1,0
332,40.69441,-73.99771,5.303304908059076,3,80,0.85,2,106,1,0,0
333,40.72399,-73.98374,5.135798437050262,4,240,2.4,1,276,1,0,0
334,40.6824,-73.94615,5.225746673713202,3,46,1.07,1,248,1,0,0
335,40.68949,-73.91708,4.189654742026425,2,228,2.27,1,194,1,0,0
336,40.688190000000006,-73.97258000000001,4.875197323201151,35,5,0.05,1,135,1,0,0
337,40.7205,-73.96015,5.298317366548036,30,8,0.11,1,30,1,0,0
338,40.724509999999995,-73.98094,5.420534999272286,2,33,0.33,1,0,1,0,0
339,40.73813,-73.95394,5.19295685089021,3,13,0.14,28,81,0,1,0
340,40.675909999999995,-73.94715,5.017279836814924,5,5,0.05,1,0,1,0,0
341,40.728429999999996,-73.98895,4.941642422609304,1,388,3.88,1,142,1,0,0
342,40.712709999999994,-73.99776,4.564348191467836,3,223,2.22,2,60,0,1,0
343,40.66966,-73.94735,4.382026634673881,15,11,0.11,5,179,1,0,0
344,40.71965,-73.98765999999999,5.017279836814924,2,151,1.51,2,52,1,0,0
346,40.680479999999996,-73.94911,4.51085950651685,3,218,2.26,4,324,1,0,0
347,40.68314,-73.93963000000001,4.795790545596741,2,75,0.76,2,237,1,0,0
348,40.759609999999995,-73.91117,4.394449154672439,1,42,1.21,2,365,0,1,0
350,40.69305,-73.93185,5.170483995038151,2,370,3.74,1,204,1,0,0
351,40.67174,-73.95663,4.795790545596741,5,104,1.04,1,272,1,0,0
352,40.71055,-73.95098,4.948759890378168,7,13,0.13,1,0,1,0,0
353,40.69465,-73.95458,5.303304908059076,5,4,0.07,1,9,1,0,0
354,40.684129999999996,-73.96542,5.111987788356544,4,11,0.11,3,365,0,1,0
355,40.73877,-73.97707,4.836281906951478,4,1,0.01,3,181,1,0,0
